铁布衫	26517
中兴	34947
威吓	18060
抹煞	15598
仅余	38482
加水	43043
那一剑	18954
五百两	41791
大笔一挥	23480
张嗣修	38993
掩盖	5168
空出	37964
当个	11862
更为重要	12870
上引	25072
人有	6345
第一次	1659
六千多	19177
小偷	14896
跳上	42279
李栋	39032
唐朝	7567
衍硬要	12763
清峰	25389
对王	35897
受益匪浅	11835
先着	12812
汤药	31243
毫不在意	1290
指挥若定	33264
纯真	20342
权利	5338
祈祷	612
某场	14613
敬畏	4534
夹到	44051
五十万	13647
金全盛	5822
六千人	44526
攻倒	33669
架子	3022
泌阳	25108
举朝	35243
复位	22214
朝拜	15342
其为	15657
打不赢	38559
地接	26876
徐州	5380
自若	39120
阿谀奉承	29551
传奇一生	16853
人生道路	38955
年初一	9663
十三位	40293
负有责任	8303
牛系	30975
陛下	5879
第三轮	37787
在此期间	38520
新面孔	38364
洪朝	35937
宋明理学	25317
张纸	22477
驻兵	6591
阿里巴巴	22928
误闯	42920
狂峰	42875
皞	16844
接纳	17760
维护者	12684
之少	7410
嘉定	5833
无偿	17726
雄姿	14511
大肆宣扬	44122
语言表达	4984
冤家	10692
一宿	27463
建设者	12661
瓷器	20108
棉花	24287
逐一	11274
粮道	44534
容纳	29315
重逢	23246
刘成	40274
省乱	44698
率京军	27068
十二月	6414
报表	44410
冲下来	17952
竹子	25447
抽签	44036
血霉	26355
遗志	17044
纪事	88
解放	19183
笑柄	21590
十一月	7287
曹敏修	11601
邀请	2612
多穷	34092
污点	19907
世家子弟	31678
讲出	23329
石亨家	23253
趁人	26340
明镜	23213
标的	8913
后叛	6502
宝剑	3054
省界	26067
心切	25689
死活	4333
及第	7531
故里	40587
做无本	40546
租税	7344
涉及	6827
腰牌	25205
不折不扣	2665
上台	17701
主营	21383
各有特点	32661
天不绝人	21790
二十二岁	23723
这样一来	19514
出公差	32678
实在话	35782
肃王	12320
之物	17170
没事干	12785
上次	3672
凶恶	3493
疯话	45799
全动	10267
张忠	27732
内忧外患	45035
泄	37606
梅林	32256
汤和攻	5541
各敬顺	17071
辞令	17268
精神压力	13944
其才	33280
人太多	1880
拉走	40879
时尚	36795
不见得	6887
十三家	44757
二百两	28874
老人	12224
他绝	21056
热菜	33750
代之而起	10678
得益	16201
辉煌	15941
损	22122
言一语	34591
陈说	15909
杆	16728
生灵涂炭	30699
下达	10374
如沐春风	20604
直作	32329
号啕大哭	22512
甚强	37140
将错就错	39447
1579	35978
断奶	41727
周边地区	44668
失守	3082
机要	30358
带出	40902
韩	23819
堆	25473
风头	8133
软弱	3351
狭隘	35061
必受	13812
达云贵	45720
心弦	28040
宜	33503
名门望族	7582
舍得	26811
强权	27795
城门口	1191
脚蹬	44989
两座	21294
荒凉	6519
纸上	43714
声东击西	26672
记得	22
937	5838
朱公子	1583
